ANO,FAIXA_ETARIA,LINGUAGEM,TOTAL_RESPONDENTES,PERCENTUAL_NA_FAIXA,PERCENTUAL_NA_LINGUAGEM
2019,18-24,HTML/CSS,13305,12.5%,27.42%
2019,18-24,JavaScript,13184,12.38%,25.27%
2019,18-24,SQL,10286,9.66%,24.37%
2019,18-24,Java,10034,9.43%,32.63%
2019,18-24,Python,9580,9%,30.63%
2019,25-34,JavaScript,25763,14.4%,49.38%
2019,25-34,HTML/CSS,23156,12.95%,47.72%
2019,25-34,SQL,20215,11.3%,47.88%
2019,25-34,Python,14320,8.01%,45.78%
2019,25-34,Java,13904,7.77%,45.21%
2019,45-54,JavaScript,2666,12.77%,5.11%
2019,45-54,SQL,2591,12.41%,6.14%
2019,45-54,HTML/CSS,2468,11.82%,5.09%
2019,45-54,Bash/Shell/PowerShell,1917,9.18%,6.74%
2019,45-54,Python,1557,7.46%,4.98%
2019,35-44,JavaScript,9787,13.87%,18.76%
2019,35-44,HTML/CSS,8842,12.53%,18.22%
2019,35-44,SQL,8340,11.82%,19.76%
2019,35-44,Bash/Shell/PowerShell,6147,8.71%,21.62%
2019,35-44,Python,5302,7.51%,16.95%
2019,55-64,SQL,784,11.83%,1.86%
2019,55-64,JavaScript,768,11.58%,1.47%
2019,55-64,HTML/CSS,752,11.34%,1.55%
2019,55-64,Bash/Shell/PowerShell,529,7.98%,1.86%
2019,55-64,Python,522,7.87%,1.67%
2020,18-24,HTML/CSS,7331,12.28%,26.55%
2020,18-24,JavaScript,7313,12.25%,24.4%
2020,18-24,SQL,5778,9.68%,23.55%
2020,18-24,Python,5736,9.61%,29.94%
2020,18-24,Java,5469,9.16%,31.85%
2020,25-34,JavaScript,14445,14.41%,48.19%
2020,25-34,HTML/CSS,12901,12.87%,46.72%
2020,25-34,SQL,11389,11.36%,46.42%
2020,25-34,Python,8669,8.65%,45.25%
2020,25-34,Java,7645,7.63%,44.52%
2020,45-54,JavaScript,1698,12.77%,5.66%
2020,45-54,SQL,1685,12.67%,6.87%
2020,45-54,HTML/CSS,1590,11.96%,5.76%
2020,45-54,Bash/Shell/PowerShell,1170,8.8%,7.64%
2020,45-54,Python,1043,7.84%,5.44%
2020,35-44,JavaScript,6004,14.17%,20.03%
2020,35-44,HTML/CSS,5320,12.56%,19.27%
2020,35-44,SQL,5118,12.08%,20.86%
2020,35-44,Bash/Shell/PowerShell,3506,8.28%,22.89%
2020,35-44,Python,3363,7.94%,17.55%
2020,55-64,SQL,563,12.87%,2.29%
2020,55-64,JavaScript,516,11.8%,1.72%
2020,55-64,HTML/CSS,469,10.72%,1.7%
2020,55-64,Bash/Shell/PowerShell,357,8.16%,2.33%
2020,55-64,Python,346,7.91%,1.81%
2021,18-24,JavaScript,13873,11.17%,28.2%
2021,18-24,HTML/CSS,12898,10.39%,30.84%
2021,18-24,Python,12482,10.05%,35.55%
2021,18-24,SQL,9768,7.87%,26.51%
2021,18-24,Java,9537,7.68%,35.82%
2021,25-34,JavaScript,21403,12.91%,43.5%
2021,25-34,HTML/CSS,17520,10.57%,41.89%
2021,25-34,SQL,15468,9.33%,41.97%
2021,25-34,Python,14140,8.53%,40.27%
2021,25-34,TypeScript,11253,6.79%,47.77%
2021,45-54,JavaScript,3221,11.48%,6.55%
2021,45-54,SQL,2927,10.43%,7.94%
2021,45-54,HTML/CSS,2697,9.61%,6.45%
2021,45-54,Python,2037,7.26%,5.8%
2021,45-54,C#,1783,6.36%,8.51%
2021,35-44,JavaScript,9811,12.46%,19.94%
2021,35-44,HTML/CSS,7952,10.1%,19.02%
2021,35-44,SQL,7771,9.87%,21.09%
2021,35-44,Python,5804,7.37%,16.53%
2021,35-44,Bash/Shell,4876,6.19%,23.55%
2021,55-64,SQL,918,10.7%,2.49%
2021,55-64,JavaScript,889,10.36%,1.81%
2021,55-64,HTML/CSS,752,8.76%,1.8%
2021,55-64,Python,649,7.56%,1.85%
2021,55-64,C#,538,6.27%,2.57%
2022,18-24,JavaScript,10321,11.98%,25.76%
2022,18-24,HTML/CSS,9176,10.65%,27.65%
2022,18-24,Python,8674,10.07%,30.42%
2022,18-24,SQL,7248,8.41%,23.09%
2022,18-24,Java,6345,7.37%,31.55%
2022,25-34,JavaScript,17518,13.4%,43.72%
2022,25-34,HTML/CSS,14181,10.85%,42.73%
2022,25-34,SQL,13203,10.1%,42.05%
2022,25-34,Python,12084,9.24%,42.38%
2022,25-34,TypeScript,10631,8.13%,48%
2022,45-54,JavaScript,2851,11.57%,7.12%
2022,45-54,SQL,2823,11.46%,8.99%
2022,45-54,HTML/CSS,2341,9.5%,7.05%
2022,45-54,Python,1871,7.6%,6.56%
2022,45-54,C#,1666,6.76%,9.76%
2022,35-44,JavaScript,8500,12.87%,21.21%
2022,35-44,SQL,7143,10.82%,22.75%
2022,35-44,HTML/CSS,6772,10.25%,20.4%
2022,35-44,Python,5290,8.01%,18.55%
2022,35-44,TypeScript,4714,7.14%,21.29%
2022,55-64,SQL,979,11.66%,3.12%
2022,55-64,JavaScript,876,10.43%,2.19%
2022,55-64,HTML/CSS,720,8.57%,2.17%
2022,55-64,Python,596,7.1%,2.09%
2022,55-64,Bash/Shell,520,6.19%,2.84%
2023,18-24,JavaScript,12176,11.14%,23.27%
2023,18-24,Python,11008,10.07%,27.67%
2023,18-24,HTML/CSS,10916,9.99%,25.33%
2023,18-24,SQL,8258,7.56%,20.18%
2023,18-24,TypeScript,7438,6.81%,22.87%
2023,25-34,JavaScript,21095,12.61%,40.32%
2023,25-34,HTML/CSS,17116,10.23%,39.72%
2023,25-34,SQL,15850,9.47%,38.74%
2023,25-34,Python,15818,9.45%,39.77%
2023,25-34,TypeScript,14540,8.69%,44.7%
2023,45-54,JavaScript,4679,11.33%,8.94%
2023,45-54,SQL,4525,10.96%,11.06%
2023,45-54,HTML/CSS,3748,9.08%,8.7%
2023,45-54,Python,3205,7.76%,8.06%
2023,45-54,Bash/Shell (all shells),2821,6.83%,10.54%
2023,35-44,JavaScript,12766,12.57%,24.4%
2023,35-44,SQL,10471,10.31%,25.59%
2023,35-44,HTML/CSS,10002,9.85%,23.21%
2023,35-44,Python,8509,8.38%,21.39%
2023,35-44,TypeScript,7793,7.67%,23.96%
2023,55-64,SQL,1812,11.18%,4.43%
2023,55-64,JavaScript,1599,9.86%,3.06%
2023,55-64,HTML/CSS,1312,8.09%,3.04%
2023,55-64,Python,1238,7.64%,3.11%
2023,55-64,Bash/Shell (all shells),982,6.06%,3.67%
