ANO,FORMACAO,CARGO,PERCENTUAL_NO_CARGO,PERCENTUAL_FORMACAO
2023,Associate degree,"Developer, full-stack",57.95,3.58
2023,Associate degree,"Developer, back-end",19.51,3.58
2023,Associate degree,"Developer, front-end",10.13,3.58
2023,Associate degree,"Developer, desktop or enterprise applications",7,3.58
2023,Associate degree,Other (please specify):,5.41,3.58
2023,Bachelor's degree,"Developer, full-stack",48.83,69.69
2023,Bachelor's degree,"Developer, back-end",28.84,69.69
2023,Bachelor's degree,"Developer, front-end",9.46,69.69
2023,Bachelor's degree,"Developer, desktop or enterprise applications",7.36,69.69
2023,Bachelor's degree,"Developer, mobile",5.5,69.69
2023,Doctoral degree,"Developer, full-stack",28.81,4.15
2023,Doctoral degree,Academic researcher,25.65,4.15
2023,Doctoral degree,"Developer, back-end",19.71,4.15
2023,Doctoral degree,Data scientist or machine learning specialist,13.12,4.15
2023,Doctoral degree,Research & Development role,12.71,4.15
2023,Master's degree,"Developer, full-stack",49.17,7.86
2023,Master's degree,"Developer, back-end",17.14,7.86
2023,Master's degree,Student,16.13,7.86
2023,Master's degree,"Developer, front-end",10.92,7.86
2023,Master's degree,"Developer, desktop or enterprise applications",6.63,7.86
2023,Some college/university study without earning a degree,"Developer, full-stack",51.72,13.34
2023,Some college/university study without earning a degree,"Developer, back-end",21.3,13.34
2023,Some college/university study without earning a degree,"Developer, front-end",11.55,13.34
2023,Some college/university study without earning a degree,Student,7.75,13.34
2023,Some college/university study without earning a degree,"Developer, desktop or enterprise applications",7.67,13.34
2023,Something else,"Developer, full-stack",52.6,1.38
2023,Something else,"Developer, back-end",18.49,1.38
2023,Something else,Other (please specify):,10.27,1.38
2023,Something else,"Developer, desktop or enterprise applications",9.45,1.38
2023,Something else,"Developer, front-end",9.18,1.38
2022,Associate degree,"Developer, full-stack",32.66,3.48
2022,Associate degree,"Developer, back-end",26.94,3.48
2022,Associate degree,"Developer, front-end",20.08,3.48
2022,Associate degree,"Developer, desktop or enterprise applications",11.56,3.48
2022,Associate degree,"Developer, mobile",8.77,3.48
2022,Bachelor's degree,"Developer, full-stack",33.12,45.84
2022,Bachelor's degree,"Developer, back-end",30.31,45.84
2022,Bachelor's degree,"Developer, front-end",18.2,45.84
2022,Bachelor's degree,"Developer, desktop or enterprise applications",9.7,45.84
2022,Bachelor's degree,"Developer, mobile",8.66,45.84
2022,Doctoral degree,Academic researcher,24.71,3.37
2022,Doctoral degree,Scientist,20.88,3.37
2022,Doctoral degree,"Developer, back-end",19.21,3.37
2022,Doctoral degree,Data scientist or machine learning specialist,17.67,3.37
2022,Doctoral degree,"Developer, full-stack",17.54,3.37
2022,Master's degree,"Developer, back-end",32.64,21.66
2022,Master's degree,"Developer, full-stack",31.52,21.66
2022,Master's degree,"Developer, front-end",15.22,21.66
2022,Master's degree,"Developer, desktop or enterprise applications",12.44,21.66
2022,Master's degree,"Developer, mobile",8.18,21.66
2022,Primary/elementary school,"Developer, full-stack",26.98,1.2
2022,Primary/elementary school,"Developer, back-end",25.6,1.2
2022,Primary/elementary school,"Developer, front-end",19.52,1.2
2022,Primary/elementary school,Student,16.85,1.2
2022,Primary/elementary school,"Developer, mobile",11.05,1.2
2022,Professional degree,"Developer, full-stack",30.18,1.93
2022,Professional degree,"Developer, back-end",27.26,1.93
2022,Professional degree,"Developer, front-end",18.5,1.93
2022,Professional degree,"Developer, desktop or enterprise applications",14.43,1.93
2022,Professional degree,"Developer, mobile",9.62,1.93
2022,Secondary school,"Developer, full-stack",29.19,7.53
2022,Secondary school,"Developer, back-end",24.54,7.53
2022,Secondary school,"Developer, front-end",19.05,7.53
2022,Secondary school,Student,17.64,7.53
2022,Secondary school,"Developer, desktop or enterprise applications",9.58,7.53
2022,Some college/university study without earning a degree,"Developer, full-stack",32.32,13.6
2022,Some college/university study without earning a degree,"Developer, back-end",27.75,13.6
2022,Some college/university study without earning a degree,"Developer, front-end",19.66,13.6
2022,Some college/university study without earning a degree,"Developer, desktop or enterprise applications",10.52,13.6
2022,Some college/university study without earning a degree,Student,9.75,13.6
2022,Something else,"Developer, full-stack",33.04,1.39
2022,Something else,"Developer, back-end",26.05,1.39
2022,Something else,"Developer, front-end",20.57,1.39
2022,Something else,"Developer, desktop or enterprise applications",10.41,1.39
2022,Something else,"Developer, mobile",9.93,1.39
2021,Associate degree,"Developer, full-stack",32.6,3.09
2021,Associate degree,"Developer, back-end",26.5,3.09
2021,Associate degree,"Developer, front-end",20.47,3.09
2021,Associate degree,"Developer, desktop or enterprise applications",10.97,3.09
2021,Associate degree,"Developer, mobile",9.46,3.09
2021,Bachelor's degree,"Developer, full-stack",33.17,47.99
2021,Bachelor's degree,"Developer, back-end",28.92,47.99
2021,Bachelor's degree,"Developer, front-end",18.16,47.99
2021,Bachelor's degree,"Developer, desktop or enterprise applications",9.96,47.99
2021,Bachelor's degree,"Developer, mobile",9.78,47.99
2021,Doctoral degree,Academic researcher,25.86,3.49
2021,Doctoral degree,Scientist,20.65,3.49
2021,Doctoral degree,Data scientist or machine learning specialist,19.78,3.49
2021,Doctoral degree,"Developer, back-end",18.17,3.49
2021,Doctoral degree,"Developer, full-stack",15.55,3.49
2021,Master's degree,"Developer, full-stack",32.18,22.08
2021,Master's degree,"Developer, back-end",30.64,22.08
2021,Master's degree,"Developer, front-end",15.82,22.08
2021,Master's degree,"Developer, desktop or enterprise applications",12.28,22.08
2021,Master's degree,"Developer, mobile",9.09,22.08
2021,Primary/elementary school,"Developer, full-stack",28.74,0.9
2021,Primary/elementary school,"Developer, back-end",24.76,0.9
2021,Primary/elementary school,"Developer, front-end",20.13,0.9
2021,Primary/elementary school,Student,15.29,0.9
2021,Primary/elementary school,"Developer, desktop or enterprise applications",11.09,0.9
2021,Professional degree,"Developer, full-stack",30.23,1.94
2021,Professional degree,"Developer, back-end",25.06,1.94
2021,Professional degree,"Developer, front-end",19.1,1.94
2021,Professional degree,"Developer, desktop or enterprise applications",13.83,1.94
2021,Professional degree,"Developer, mobile",11.78,1.94
2021,Secondary school,"Developer, full-stack",30.9,5.86
2021,Secondary school,"Developer, back-end",25.39,5.86
2021,Secondary school,"Developer, front-end",19.95,5.86
2021,Secondary school,Student,13,5.86
2021,Secondary school,"Developer, desktop or enterprise applications",10.76,5.86
2021,Some college/university study without earning a degree,"Developer, full-stack",32.13,13.21
2021,Some college/university study without earning a degree,"Developer, back-end",27.01,13.21
2021,Some college/university study without earning a degree,"Developer, front-end",19.74,13.21
2021,Some college/university study without earning a degree,"Developer, desktop or enterprise applications",10.81,13.21
2021,Some college/university study without earning a degree,"Developer, mobile",10.32,13.21
2021,Something else,"Developer, full-stack",32.36,1.44
2021,Something else,"Developer, back-end",24.85,1.44
2021,Something else,"Developer, front-end",20.99,1.44
2021,Something else,"Developer, desktop or enterprise applications",11.58,1.44
2021,Something else,"Developer, mobile",10.22,1.44
2020,Associate degree,"Developer, full-stack",29.27,3.66
2020,Associate degree,"Developer, back-end",27.01,3.66
2020,Associate degree,"Developer, front-end",21.48,3.66
2020,Associate degree,"Developer, desktop or enterprise applications",12.54,3.66
2020,Associate degree,"Developer, mobile",9.7,3.66
2020,Bachelor's degree,"Developer, full-stack",29.42,49.25
2020,Bachelor's degree,"Developer, back-end",28.79,49.25
2020,Bachelor's degree,"Developer, front-end",19.83,49.25
2020,Bachelor's degree,"Developer, desktop or enterprise applications",11.88,49.25
2020,Bachelor's degree,"Developer, mobile",10.08,49.25
2020,Doctoral degree,Academic researcher,26.93,3.11
2020,Doctoral degree,Scientist,21.63,3.11
2020,Doctoral degree,"Developer, back-end",18.87,3.11
2020,Doctoral degree,Data scientist or machine learning specialist,18.32,3.11
2020,Doctoral degree,"Developer, full-stack",14.26,3.11
2020,I never completed any formal education,"Developer, full-stack",24.6,0.74
2020,I never completed any formal education,"Developer, back-end",24.02,0.74
2020,I never completed any formal education,"Developer, front-end",22.13,0.74
2020,I never completed any formal education,"Developer, mobile",15.28,0.74
2020,I never completed any formal education,"Developer, desktop or enterprise applications",13.97,0.74
2020,Master's degree,"Developer, back-end",30.92,22.34
2020,Master's degree,"Developer, full-stack",29.1,22.34
2020,Master's degree,"Developer, front-end",16.82,22.34
2020,Master's degree,"Developer, desktop or enterprise applications",13.69,22.34
2020,Master's degree,"Developer, mobile",9.49,22.34
2020,Primary/elementary school,"Developer, back-end",26.92,0.7
2020,Primary/elementary school,"Developer, full-stack",26.31,0.7
2020,Primary/elementary school,"Developer, front-end",21.85,0.7
2020,Primary/elementary school,"Developer, mobile",12.77,0.7
2020,Primary/elementary school,System administrator,12.15,0.7
2020,Professional degree,"Developer, full-stack",28.92,1.55
2020,Professional degree,"Developer, back-end",27.18,1.55
2020,Professional degree,"Developer, front-end",18.03,1.55
2020,Professional degree,"Developer, desktop or enterprise applications",13.87,1.55
2020,Professional degree,"Developer, mobile",12,1.55
2020,Secondary school,"Developer, full-stack",27.51,5.55
2020,Secondary school,"Developer, back-end",27.04,5.55
2020,Secondary school,"Developer, front-end",21.77,5.55
2020,Secondary school,"Developer, desktop or enterprise applications",12.35,5.55
2020,Secondary school,"Developer, mobile",11.33,5.55
2020,Some college/university study without earning a degree,"Developer, full-stack",28.08,13.1
2020,Some college/university study without earning a degree,"Developer, back-end",27.88,13.1
2020,Some college/university study without earning a degree,"Developer, front-end",21.53,13.1
2020,Some college/university study without earning a degree,"Developer, desktop or enterprise applications",12.45,13.1
2020,Some college/university study without earning a degree,"Developer, mobile",10.06,13.1
2019,Associate degree,"Developer, full-stack",29.89,3.63
2019,Associate degree,"Developer, back-end",26.48,3.63
2019,Associate degree,"Developer, front-end",21.53,3.63
2019,Associate degree,"Developer, desktop or enterprise applications",12.29,3.63
2019,Associate degree,"Developer, mobile",9.8,3.63
2019,Bachelor's degree,"Developer, full-stack",30.71,47.09
2019,Bachelor's degree,"Developer, back-end",28.29,47.09
2019,Bachelor's degree,"Developer, front-end",18.92,47.09
2019,Bachelor's degree,"Developer, desktop or enterprise applications",11.6,47.09
2019,Bachelor's degree,"Developer, mobile",10.48,47.09
2019,Doctoral degree,Academic researcher,24,2.92
2019,Doctoral degree,Scientist,22.51,2.92
2019,Doctoral degree,Data scientist or machine learning specialist,18.72,2.92
2019,Doctoral degree,"Developer, back-end",18.72,2.92
2019,Doctoral degree,"Developer, full-stack",16.05,2.92
2019,I never completed any formal education,"Developer, full-stack",27.72,0.57
2019,I never completed any formal education,"Developer, back-end",25.64,0.57
2019,I never completed any formal education,"Developer, front-end",20.51,0.57
2019,I never completed any formal education,"Developer, mobile",14.29,0.57
2019,I never completed any formal education,"Developer, desktop or enterprise applications",11.84,0.57
2019,Master's degree,"Developer, back-end",30.67,20.91
2019,Master's degree,"Developer, full-stack",29.97,20.91
2019,Master's degree,"Developer, front-end",16.2,20.91
2019,Master's degree,"Developer, desktop or enterprise applications",13.36,20.91
2019,Master's degree,"Developer, mobile",9.8,20.91
2019,Primary/elementary school,"Developer, back-end",25.05,1.12
2019,Primary/elementary school,Student,22.04,1.12
2019,Primary/elementary school,"Developer, full-stack",20.98,1.12
2019,Primary/elementary school,"Developer, front-end",19.91,1.12
2019,Primary/elementary school,"Developer, mobile",12.02,1.12
2019,Professional degree,"Developer, full-stack",28.54,1.48
2019,Professional degree,"Developer, back-end",27.69,1.48
2019,Professional degree,"Developer, front-end",18.21,1.48
2019,Professional degree,"Developer, desktop or enterprise applications",14.08,1.48
2019,Professional degree,"Developer, mobile",11.47,1.48
2019,Secondary school,Student,24.16,9.34
2019,Secondary school,"Developer, back-end",24.04,9.34
2019,Secondary school,"Developer, full-stack",23.02,9.34
2019,Secondary school,"Developer, front-end",18.26,9.34
2019,Secondary school,"Developer, desktop or enterprise applications",10.52,9.34
2019,Some college/university study without earning a degree,"Developer, full-stack",28.94,12.94
2019,Some college/university study without earning a degree,"Developer, back-end",27.54,12.94
2019,Some college/university study without earning a degree,"Developer, front-end",20.08,12.94
2019,Some college/university study without earning a degree,"Developer, desktop or enterprise applications",11.77,12.94
2019,Some college/university study without earning a degree,Student,11.67,12.94
